Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Storage Type,RAM,Storage Capacity,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Payment Method,Channel,Priority,Cost Price,Sale Price,Discount Amount,Finance Amount,Credit Score,Cost of Repairs,Total Sales per Employee,PC Market Price,Purchase Date,Ship Date
North America,Texas,Abilene,A & A PCs,2,Lenovo,Legion 5,SSD,2GB,1TB,John,Reyes,189228254,jessica62@example.com,Diana Rodriguez,New Sales,Finance,Online,Low,18701,22222,318,5823,761,0,523,22000,2023-02-13,2023-02-23
Africa,Botswana,Central,Western International PCs,2,Samsung,Notebook 5,HDD,4GB,256GB,Vanessa,Boyd,363.814.2384,nicolegonzalez@example.com,Melissa Dunn,Second-hand Sales,Finance,Offline,High,11714,13926,515,47675,706,0,671,12532,2022-08-01,N/A
Africa,Tanzania,Manyara,DEF Machines,2,Dell,Precision,SSD,16GB,1TB,Shannon,Freeman,524-471-5326x826,lyoung@example.org,Jennifer Morales,Repairs,Bank Transfer,Online,Low,9261,14136,410,0,760,4931,557,10948,2023-05-26,2023-06-18
Africa,Kenya,Siaya,Jacks Hardware,9,HP,Elitebook,HDD,16GB,256GB,Cathy,Price,740-532-2618,lbryan@example.net,Tonya Nolan,New Sales,Cash,Online,Low,17758,22498,112,0,728,0,816,20454,2024-01-02,2024-01-30
Africa,Nigeria,Zamfara,GH PC Shop,4,HP,Spectre,HDD,16GB,500GB,Robert,Wood,+1-437-479-3301x31977,anthony69@example.com,Diana Waters,Second-hand Sales,Bank Transfer,Offline,Low,26343,28768,333,0,440,0,807,27529,2021-04-15,N/A
Africa,Kenya,Bungoma,DEF Machines,4,Microsoft,Surface Hub,SSD,2GB,500GB,Richard,Frye,+1-382-726-8974x7448,portermonica@example.com,Amy Johnson,Repairs,Bank Transfer,Online,High,28302,30373,520,0,595,2589,981,30011,2022-05-01,2022-05-07
Africa,Angola,Benguela,DEF Machines,8,Microsoft,Surface Neo,HDD,4GB,500GB,Scott,Lawson,(710)273-3054x96921,samantha25@example.net,Cassidy Mason,New Sales,Bank Transfer,Offline,High,21491,25949,593,0,496,0,743,22822,2023-12-11,N/A
Africa,South Africa,Northern Cape,ABC Computers,3,Toshiba,Qosmio,SSD,2GB,1TB,Roberto,Murray,2216962432,joseph07@example.net,Pamela Zavala,Repairs,Finance,Offline,Medium,26025,29391,830,16614,473,3516,722,28243,2023-10-26,N/A
Africa,Nigeria,Borno,XYZ Tech,2,Acer,Predator Triton 500,HDD,4GB,1TB,Marc,Walker,+1-039-197-5976x92508,bobby21@example.org,Diana Waters,Returns,Finance,Offline,High,5202,9678,174,41579,537,0,817,6184,2023-05-15,N/A
Africa,Tanzania,Mara,CK Tech Store,3,Microsoft,Surface Pro,SSD,16GB,500GB,Cindy,Davis,4326458783,whitney58@example.net,Mary Fisher,New Sales,Bank Transfer,Offline,Low,17782,21769,897,0,678,0,697,18410,2022-05-26,N/A
North America,California,San Diego,LJ Computers,7,Asus,TUF Gaming A15,HDD,4GB,1TB,Jeff,Hamilton,(856)281-3635x3047,jessica96@example.net,Joy Holt,Repairs,Cash,Offline,Medium,20574,22717,951,0,545,1095,789,20581,2022-08-06,N/A
North America,Georgia,Douglasville,Greens Laptops and PCs,6,Acer,Aspire 7,SSD,16GB,256GB,Sharon,Massey,+1-134-873-8647x358,kimberly30@example.org,Michael Collins,New Sales,Cash,Online,Medium,4317,8816,101,0,782,0,703,4400,2022-01-20,2022-02-13
Africa,Nigeria,Yobe,XYZ Tech,5,MSI,GS66 Stealth,SSD,8GB,1TB,Benjamin,Mayer,2883270457,johnlin@example.org,Lisa Morgan,Returns,Cash,Offline,Medium,12863,15128,727,0,789,0,424,13600,2021-03-15,N/A
Africa,Morocco,Fahs Anjra,Western International PCs,4,Samsung,Notebook 9 Pro,SSD,16GB,1TB,Patrick,Owens,9718561441,parkserin@example.com,Amy Owens,Returns,Finance,Offline,Low,8835,11009,506,12253,798,0,87,9258,2022-03-30,N/A
North America,Michigan,East Lansing,CK Tech Store,3,HP,Envy,HDD,8GB,256GB,Ronnie,Fisher,430-954-2512,xsharp@example.org,Erika Larsen,Second-hand Sales,Bank Transfer,Online,High,13588,16477,668,0,567,0,157,13931,2023-04-26,2023-05-26
Africa,Nigeria,Niger,Mini Tech,6,Samsung,Galaxy Chromebook 2,HDD,16GB,256GB,Christina,Jackson,001-465-013-9160x807,kenneth60@example.net,Lisa Morgan,Returns,Bank Transfer,Offline,High,17133,19196,202,0,504,0,856,18358,2021-06-20,N/A
North America,California,Stockton,Western International PCs,4,Acer,Spin 5,HDD,16GB,1TB,Shaun,Sutton,970.304.7252,greenemelinda@example.com,Rachel Mitchell,Second-hand Sales,Bank Transfer,Offline,High,24024,27975,790,0,544,0,938,27712,2023-05-22,N/A
North America,Illinois,Berwyn,Jacks Hardware,8,Lenovo,IdeaCentre AIO 3,SSD,2GB,256GB,Christina,Warren,001-260-986-7951x90918,cathy71@example.net,Jason Phillips,New Sales,Bank Transfer,Offline,Medium,24764,28518,309,0,618,0,593,24785,2023-12-25,N/A
North America,California,Chula Vista,ABC Computers,8,MSI,GS66 Stealth,HDD,8GB,1TB,Kerry,Williams,142.837.2973,qjohnson@example.org,Alyssa Martinez,Repairs,Cash,Online,High,7557,11725,14,0,429,3299,977,8998,2023-10-27,2023-11-26
North America,Michigan,Royal Oak,A & A PCs,4,Apple,Apple iMac,HDD,8GB,1TB,Brenda,Hodge,(666)966-2420,christopherbennett@example.net,Allen Juarez,Returns,Finance,Offline,Medium,25977,29202,634,21373,589,0,363,27854,2022-11-17,N/A
Africa,Kenya,Nakuru,Jacks Hardware,4,Asus,ROG Strix Scar III,HDD,2GB,500GB,Erin,Williams,287.920.6275x7777,adrianjohnson@example.com,Kenneth Moore,New Sales,Bank Transfer,Online,High,19361,21367,380,0,740,0,977,19877,2022-01-22,2022-02-06
Africa,Tanzania,Pemba Kusini,Frankies Hardware and Software,6,Apple,Apple PowerBook G4,SSD,16GB,256GB,Christopher,Long,+1-838-470-0689x7919,sandovalrussell@example.org,Alicia Evans,New Sales,Cash,Online,High,17109,20011,699,0,778,0,306,19402,2022-10-07,2022-10-26
North America,Florida,Hialeah,Ricks Computers,2,Microsoft,Surface Book,SSD,4GB,500GB,Elizabeth,Becker,826-331-4982,vmitchell@example.com,Alexis Murray,Second-hand Sales,Bank Transfer,Online,Medium,20756,22946,179,0,518,0,321,22856,2022-06-19,2022-07-08
North America,California,Irvine,KyaSand Tech Gadgets,10,Samsung,Notebook Odyssey,HDD,2GB,500GB,Pamela,Mcneil,655-774-3937x780,petersontammy@example.com,Larry Smith,Second-hand Sales,Finance,Offline,Medium,10910,14333,729,17276,544,0,101,12247,2021-06-16,N/A
Africa,Morocco,Ouezzane,LJ Computers,4,Dell,Precision,SSD,4GB,256GB,Grant,Robertson,181965151,melissawood@example.net,Gina Day,Second-hand Sales,Bank Transfer,Offline,High,15191,18781,84,0,740,0,825,18164,2023-04-17,N/A
Africa,South Africa,Gauteng,Greens Laptops and PCs,9,Asus,ZenBook Flip S UX371,SSD,4GB,500GB,Lisa,Kaiser,(298)656-7674,meganwolfe@example.net,Mary Nelson,Returns,Finance,Offline,High,6794,10781,688,37658,428,0,143,10101,2021-06-01,N/A
North America,Illinois,Orland Park,ABC Computers,8,Lenovo,ThinkPad T14,HDD,16GB,500GB,Jennifer,Roach,(080)276-3367x495,joshualawrence@example.net,Glenda Cohen,Repairs,Cash,Online,High,25958,29343,121,0,657,2046,434,27024,2021-11-08,2021-12-07
Africa,Nigeria,Ondo,Ricks Computers,10,HP,Spectre,HDD,4GB,500GB,Lisa,Lynn,(652)783-8113x942,grace35@example.org,Mary Shaw,New Sales,Finance,Offline,Low,16949,19423,51,18995,817,0,733,18827,2021-12-16,N/A
North America,Illinois,Berwyn,GH PC Shop,6,Asus,VivoBook S14,HDD,4GB,256GB,Patricia,Roberts,674.737.0858,ryanchristopher@example.org,Daniel Serrano,Repairs,Finance,Online,Medium,28751,30808,618,11175,761,4951,247,29698,2022-07-11,2022-07-13
Africa,Kenya,Tharaka-Nithi,DEF Machines,3,Apple,Apple Macintosh Classic,HDD,2GB,256GB,Kimberly,Peters,(100)703-7041,pennycobb@example.net,Cassandra Mcmillan,Repairs,Bank Transfer,Online,Medium,15261,19210,971,0,785,1815,736,17590,2023-01-01,2023-01-05
Africa,Botswana,Ghanzi,Greens Laptops and PCs,9,Lenovo,ThinkCentre M920 Tiny,SSD,4GB,256GB,Angela,Brown,(566)426-0077,wellsangela@example.org,Sarah Riley,Repairs,Bank Transfer,Online,Low,17334,22130,297,0,689,4934,130,21342,2023-02-01,2023-02-22
Africa,Ghana,Northern,Ricks Computers,2,Asus,VivoBook S14,HDD,16GB,256GB,Brooke,Jones,(832)592-6431,gina83@example.net,Troy Howell,New Sales,Bank Transfer,Online,Low,21520,26144,631,0,815,0,370,24367,2023-10-27,2023-11-20
North America,Illinois,Waukegan,ABC Computers,5,Asus,ExpertBook B9,SSD,8GB,1TB,Nichole,May,+1-594-718-8830x555,johnsonjeffrey@example.org,Ashley Jones,Second-hand Sales,Finance,Online,Medium,11127,15831,20,18443,522,0,432,13309,2021-05-10,2021-05-16
Africa,Kenya,Kitui,ABC Computers,3,MSI,Alpha 15,HDD,4GB,1TB,Nicholas,Alexander,001-555-339-7850x168,anthony38@example.net,Kenneth Moore,Returns,Cash,Offline,Low,13849,16865,938,0,516,0,969,16161,2023-10-01,N/A
North America,California,Fresno,CK Tech Store,10,Toshiba,Dynabook,SSD,2GB,256GB,Matthew,Smith,7182073394,john84@example.com,Joe Black,Returns,Cash,Online,Low,24130,27031,909,0,497,0,668,26663,2023-10-19,2023-11-08
North America,North Carolina,Gastonia,Benjis Tech,9,Acer,Chromebook Spin 311,HDD,2GB,500GB,Madeline,Armstrong,870.710.3196x3586,michael26@example.net,Craig Wheeler,New Sales,Finance,Offline,Medium,19746,23575,141,34519,431,0,546,21275,2021-06-01,N/A
North America,North Carolina,Salisbury,Greens Laptops and PCs,4,Microsoft,Surface Pro,HDD,2GB,1TB,Carolyn,Carter,(714)403-0106x45431,gking@example.org,Brittany Franklin,New Sales,Finance,Offline,Medium,25966,30237,78,5254,809,0,153,28403,2023-11-18,N/A
Africa,Angola,Namibe,GH PC Shop,7,Samsung,Galaxy Chromebook 2,HDD,4GB,500GB,Michael,Espinoza,7106609566,wagnerjimmy@example.net,Hector Robertson,Returns,Finance,Offline,Low,25099,28049,978,25441,572,0,191,25475,2022-07-04,N/A
North America,North Carolina,Concord,Jacks Hardware,2,Asus,ROG Zephyrus S GX701,HDD,4GB,500GB,Patrick,Green,5189869136,peckanthony@example.org,Brady Walton,Second-hand Sales,Finance,Online,Medium,18280,22734,949,12154,548,0,26,21566,2024-03-03,2024-03-10
North America,Illinois,Arlington Heights,Jacks Hardware,4,Acer,Aspire E 15,HDD,16GB,256GB,Amber,Goodwin,430.286.3788x5154,wrightpatrick@example.net,Kathleen Robinson,Second-hand Sales,Bank Transfer,Offline,High,12228,14807,718,0,613,0,436,12942,2024-02-03,N/A
Africa,Ghana,Central,ABC Computers,5,Samsung,Notebook 9,SSD,4GB,256GB,Timothy,Brown,773-182-3791x46259,jillsampson@example.com,Jonathan Miller,New Sales,Finance,Online,High,21440,25392,39,49235,628,0,520,23006,2023-03-07,2023-03-21
North America,California,San Bernardino,GH PC Shop,1,Lenovo,ThinkPad P15s,SSD,4GB,1TB,Charles,Davis,566-410-8863x77590,rebeccaadams@example.com,Sean Rodriguez,New Sales,Finance,Online,Medium,11092,14853,973,23344,784,0,676,13664,2023-06-02,2023-06-09
North America,Illinois,Arlington Heights,KyaSand Tech Gadgets,2,MSI,GP65 Leopard,HDD,2GB,1TB,Amy,Gomez,001-068-214-0596x5278,connerkeith@example.com,Amanda Mitchell,New Sales,Cash,Offline,Medium,27622,32021,886,0,651,0,162,28996,2023-07-21,N/A
Africa,Ethiopia,"Southern Nations, Nationalities, and Peoples Region (SNNPR)",LJ Computers,7,Toshiba,Dynabook,HDD,2GB,500GB,Steven,Pham,459.191.1321,sullivanjames@example.org,Michael Summers,Second-hand Sales,Finance,Online,High,11821,15554,168,37332,516,0,823,13995,2022-01-08,2022-01-27
Africa,Botswana,Kweneng,A & A PCs,7,HP,Stream,HDD,2GB,1TB,Beth,Russell,(757)341-5077x26550,gvaughn@example.org,Michael Byrd,New Sales,Cash,Offline,Medium,13832,16760,324,0,689,0,488,15241,2021-08-08,N/A
Africa,South Africa,Northern Cape,ABC Computers,6,Microsoft,Surface Book,HDD,16GB,256GB,Courtney,Johnson,808.186.0221x1465,dianafischer@example.org,Carol Smith,Repairs,Bank Transfer,Offline,High,13214,16078,850,0,667,1140,817,13588,2023-08-08,N/A
Africa,Ghana,Western,XYZ Tech,3,Dell,Venue,SSD,16GB,256GB,Matthew,Thomas,(407)856-6803x0870,jcooper@example.org,Amanda Hurley,New Sales,Cash,Offline,Low,20746,24938,298,0,741,0,669,21980,2023-08-17,N/A
Africa,Morocco,Guelmim,XYZ Tech,10,Toshiba,Satellite,SSD,8GB,1TB,Aaron,Spencer,107-106-9029x9115,stacey97@example.org,Kelly Mitchell,Repairs,Bank Transfer,Offline,Low,8839,13271,704,0,568,3891,317,12164,2022-04-06,N/A
North America,New York,Mount Vernon,ABC Computers,7,Acer,ConceptD 5,HDD,2GB,1TB,Steven,Alexander,001-915-147-5305,zadams@example.net,Kelsey Olson,Repairs,Bank Transfer,Online,Low,20990,25255,411,0,451,4717,123,25220,2023-01-01,2023-01-31
Africa,Ghana,Volta,A & A PCs,8,MSI,P65 Creator,SSD,2GB,256GB,Cameron,Jones,+1-462-294-5992,phillip03@example.net,Kevin Lee,Second-hand Sales,Bank Transfer,Offline,Low,22176,26293,234,0,520,0,47,25546,2023-10-17,N/A
Africa,Kenya,Makueni,S & A Computer Place,10,Acer,Spin 5,SSD,4GB,1TB,Ralph,Rodriguez,001-907-369-6538x9469,joseroth@example.net,Christopher Santos,New Sales,Finance,Online,Medium,20865,24690,915,10464,671,0,694,23277,2021-12-12,2022-01-04
North America,New York,Binghamton,CK Tech Store,3,Dell,G Series,HDD,8GB,256GB,Renee,Cooper,+1-192-343-3369x9179,gdavis@example.net,Natalie Jimenez,New Sales,Cash,Online,Medium,16136,18675,859,0,725,0,613,18288,2023-02-22,2023-03-17
Africa,Angola,Cuando Cubango,CK Tech Store,9,Apple,Apple iMac,SSD,2GB,500GB,Nicole,Payne,413-198-7204x0804,earl63@example.org,Hector Robertson,Returns,Cash,Online,Medium,11762,15876,923,0,509,0,825,12605,2023-12-18,2024-01-12
North America,California,San Jose,XYZ Tech,3,Apple,Apple Mac Pro,SSD,2GB,256GB,Christopher,Daniels,(643)104-8462,mellis@example.net,Sean Rodriguez,Second-hand Sales,Bank Transfer,Online,Medium,7121,10387,394,0,621,0,772,8390,2022-06-28,2022-07-24
North America,Pennsylvania,Lebanon,Mini Tech,8,Microsoft,Surface Laptop,HDD,2GB,256GB,Wanda,Cook,001-002-225-3366x0722,robertbarnes@example.com,Julia Dodson,Returns,Finance,Online,High,3601,6262,997,29919,465,0,971,5977,2021-06-06,2021-06-18
North America,California,San Jose,DEF Machines,4,Dell,Vostro,SSD,8GB,500GB,Dylan,Henry,401.414.4447,bailey23@example.com,Andrew Miranda,Returns,Cash,Offline,Low,22149,26540,733,0,645,0,324,24313,2021-10-26,N/A
North America,Georgia,Macon,Frankies Hardware and Software,7,Acer,Predator Helios 300,SSD,16GB,256GB,Debra,Bryant,+1-987-688-0384x967,maryhumphrey@example.net,Rebecca Brown,New Sales,Bank Transfer,Offline,Low,23823,28231,779,0,609,0,413,27083,2023-04-26,N/A
Africa,Egypt,Matrouh,LJ Computers,1,Lenovo,ThinkPad X13 Yoga,HDD,4GB,500GB,Rita,Chapman,(705)174-7371,hammondjulie@example.org,Michael Gibson,New Sales,Finance,Offline,Medium,12847,14930,705,46356,761,0,759,14149,2023-09-28,N/A
North America,Florida,Davie,GH PC Shop,3,HP,Stream,HDD,16GB,500GB,Willie,Reeves,+1-058-033-7233,marysmith@example.org,William Macdonald,Returns,Cash,Online,Low,20012,23066,415,0,498,0,174,20606,2021-07-08,2021-07-15
North America,New York,Syracuse,Frankies Hardware and Software,8,Asus,ROG Strix Scar III,HDD,8GB,1TB,Mason,Santiago,886.158.7356x9754,macdonaldmary@example.net,Kelsey Olson,Returns,Bank Transfer,Online,Medium,3913,8584,316,0,652,0,98,6082,2023-04-11,2023-04-30
North America,Florida,West Palm Beach,A & A PCs,2,HP,Envy,HDD,2GB,256GB,Scott,Thompson,661-062-8359x59205,vrogers@example.org,Deborah Anderson MD,Second-hand Sales,Cash,Online,Low,24371,27551,15,0,821,0,252,26459,2023-12-17,2023-12-24
Africa,Tanzania,Tabora,Western International PCs,6,Microsoft,Surface Hub,HDD,2GB,1TB,Tommy,Thompson,(208)022-4444x1460,jamesdaniel@example.org,Corey Rasmussen,New Sales,Cash,Online,High,26475,29974,906,0,757,0,914,28915,2022-02-10,2022-02-25
North America,California,Modesto,Benjis Tech,3,Toshiba,Portege,HDD,4GB,1TB,Ashley,Conrad,353.269.9299x294,hfreeman@example.net,Larry Smith,Returns,Bank Transfer,Online,High,14781,18883,841,0,699,0,429,18622,2023-10-16,2023-10-20
Africa,Nigeria,Adamawa,XYZ Tech,7,Acer,Aspire E 15,SSD,2GB,256GB,Luis,Guerrero,763.599.8783x07753,evansbrenda@example.org,Timothy Leach,Repairs,Finance,Online,Medium,12197,15158,770,7222,453,2268,142,15079,2023-08-30,2023-09-29
Africa,Kenya,Taita-Taveta,ABC Computers,2,Dell,Alienware,HDD,8GB,1TB,Bradley,Mccall,+1-365-364-4219,jeffmurphy@example.org,Cassandra Mcmillan,Second-hand Sales,Bank Transfer,Online,High,20189,22913,910,0,765,0,755,21466,2022-01-15,2022-02-02
North America,North Carolina,Charlotte,S & A Computer Place,7,HP,Spectre,HDD,16GB,1TB,Jeffrey,Martinez,232-497-5709x60368,uallen@example.net,Robert Wood,Repairs,Bank Transfer,Online,Low,25555,30055,887,0,555,3741,173,25609,2021-08-23,2021-08-25
Africa,South Africa,Mpumalanga,Jacks Hardware,5,HP,Elitebook,SSD,16GB,1TB,Michael,Murray,+1-672-463-4891x88806,lbrown@example.org,Mrs. Barbara Davenport,Second-hand Sales,Finance,Online,High,16881,20979,668,14012,503,0,791,18146,2024-01-09,2024-01-12
Africa,Kenya,Migori,GH PC Shop,8,Acer,Predator Helios 300,SSD,2GB,1TB,Lisa,Stephens,+1-590-612-8328x7385,mortiz@example.net,Jeffrey Cook,New Sales,Bank Transfer,Offline,High,23040,26135,696,0,727,0,702,24992,2021-03-16,N/A
North America,Florida,Tallahassee,GH PC Shop,9,Toshiba,Libretto,HDD,2GB,500GB,Grant,Day,001-992-824-3817x1218,pcontreras@example.org,Raymond Larson,New Sales,Cash,Offline,High,14469,17833,331,0,505,0,130,17629,2023-01-15,N/A
Africa,Botswana,North-East,Frankies Hardware and Software,4,Apple,Apple Lisa,HDD,4GB,256GB,Kenneth,White,+1-021-674-7422x4082,candacegibson@example.com,Lisa Williams,Second-hand Sales,Finance,Online,High,28966,32610,40,27288,582,0,86,29256,2023-11-08,2023-12-05
North America,Ohio,Springfield,XYZ Tech,4,MSI,Alpha 15,SSD,2GB,500GB,Nancy,Smith,854.880.1176x56848,underwoodkatie@example.org,Diamond Baker,Returns,Finance,Online,Medium,27582,31801,769,48070,735,0,301,27723,2023-11-23,2023-12-21
North America,California,Anaheim,Jacks Hardware,10,MSI,Modern 15,HDD,2GB,500GB,Michelle,Hancock,001-255-153-8979,michael68@example.org,Andrew Miranda,New Sales,Bank Transfer,Offline,Low,27749,31849,924,0,765,0,641,31848,2022-03-07,N/A
North America,Michigan,Troy,Benjis Tech,10,MSI,Alpha 15,SSD,4GB,256GB,Jared,Shaw,(870)728-4319x79069,amandaleach@example.com,Casey Dunn,New Sales,Cash,Online,Low,4766,8559,154,0,701,0,281,7451,2023-04-09,2023-05-06
Africa,Kenya,Kisii,ABC Computers,3,Apple,Apple iMac,SSD,8GB,1TB,Justin,Hunt,599.017.9541,kevin25@example.org,David Ellis,Second-hand Sales,Bank Transfer,Online,Low,15695,18115,995,0,624,0,52,17199,2023-12-09,2024-01-03
